Time,northern_flow,sjr_flow,exports,/HIST+GATE/RSAC128/POS/01JAN1953 - 01JAN2020/IR-YEAR/DWR-DMS-DSM2/,div+seep-drain_dcd+smcd,daily_max-min,sjr_vernalis_ec,sac_greens_ec
1/1/1990,17013,1220,10584.12988,1,1845.904743,5.290669441,1090,113.1999969
1/2/1990,17125,1210,10608.8501,1,1519.184132,4.993002892,1098,113.8000031
1/3/1990,16022,1190,10508.22998,1,1746.834299,5.104768276,1106,114.4000015
1/4/1990,15618,1170,10604.27979,1,1760.964159,5.467436552,1114,115
1/5/1990,15007,1190,10572.14014,1,1712.994337,6.140001543,1093,112
1/6/1990,14608,1200,10561,1,1769.334313,6.680730823,1115,121
1/7/1990,15022,1200,10646.62988,1,1896.153601,7.110751152,1141,122
1/8/1990,16070,1180,10608.83984,1,2286.293326,7.348778725,1138,124
1/9/1990,17273,1170,10667.7998,1,2271.623363,7.262637615,1128,121
1/10/1990,23711,1170,10698.87988,1,2100.743972,7.176518207,1129,123
1/11/1990,24671,1180,10612.75,0.405555556,2147.813465,6.899096251,1121,130
1/12/1990,20864,1180,10609.75977,0,1987.814314,6.271310568,1151,136
1/13/1990,21827,1250,10618.1001,0,360.2247116,5.456300259,1158,129
1/14/1990,26770,1310,10597.58984,0,-428.8547349,4.676921487,1133,112
1/15/1990,34726,1350,10554.52002,0,-404.1656441,4.536605716,1106,153
1/16/1990,37291,1370,10581.00977,0,-712.8949839,4.011100531,1084,152
1/17/1990,32365,1350,10567.99023,0,-707.295733,4.267370939,1047,147
1/18/1990,28794,1340,10563.41016,0,618.8436488,4.774418235,1030,111
1/19/1990,25870,1310,10557.41016,0,1676.823474,5.038425684,1093,112
1/20/1990,22142,1300,10565.43018,0,1994.553335,5.369835615,1107,133
1/21/1990,19113,1280,10571.43994,0,2160.443483,5.718162537,1119,146
1/22/1990,16891,1270,10587.08008,0.4,2244.213551,5.993832588,1119,157
1/23/1990,15092,1270,10551.27002,1,2273.883525,6.228483444,1075,158
1/24/1990,14288,1260,10631.91992,1,2256.703567,6.327684169,1132,176
1/25/1990,13374,1260,10602.77979,1,2113.053696,6.7093606,1187,189
1/26/1990,12566,1230,10609.81006,1,2212.4736,6.505491495,1210,175
1/27/1990,12465,1220,10574.56982,1,2270.453444,6.068330768,1182,186
1/28/1990,11865,1210,10614.47021,1,2378.123186,5.513049126,1198,197
1/29/1990,11365,1210,10604.39014,1,2230.713669,5.256795645,1194,194
1/30/1990,11080,1210,10612.47998,1,1881.894212,4.605832577,1222,196
1/31/1990,11910,1240,10562.95996,1,2044.92399,5.067038536,1217,200
2/1/1990,12635,1220,10660.70996,1,-115.3930843,5.503717661,1207,192
2/2/1990,13924,1250,10602.81006,1,165.7965895,5.394047976,1172,194
2/3/1990,13704,1260,10602.29004,1,-86.30263825,6.283202413,1121,189
2/4/1990,14488,1260,10613.29004,1,-406.0529923,6.42313648,1116,179
2/5/1990,14980,1310,10648.45996,1,-87.67350106,6.604140997,1099,176
2/6/1990,15480,1290,10574.04004,1,-609.3325314,6.675098658,1120,165
2/7/1990,15987,1310,10662.56006,1,-222.1434349,6.680609465,1123,168
2/8/1990,15341,1300,10492.25,1,-173.7234458,6.45912075,1187,183
2/9/1990,14519,1300,10544,1,238.0465424,5.934030771,1172,175
2/10/1990,13510,1280,10503.46997,1,280.5765378,5.267938137,1117,169
2/11/1990,12720,1270,10525.8501,1,380.9466829,4.857763529,1163,171
2/12/1990,12119,1260,10490.47998,1,390.936909,4.479216576,1175,164
2/13/1990,11809,1250,10533.58008,1,451.1160353,4.139945626,1193,165
2/14/1990,11785,1220,10554.53003,1,256.2167087,4.275487661,1234,179
2/15/1990,10756,1220,10500.36011,1,303.9067371,4.221508265,1198,189
2/16/1990,12083,1250,10525.94995,1,-782.3224067,4.462976217,1173,191
2/17/1990,17912,1420,10586.83008,1,-2866.722305,4.845521092,1222,181
2/18/1990,19682,1520,10592.87988,1,-2970.912666,5.005399466,1194,172
2/19/1990,18360,1580,10599.30005,1,-2617.003457,5.279767759,1135,172
2/20/1990,16597,1630,10570.83008,1,-2736.263283,5.64329315,1081,154
2/21/1990,14990,1660,10576.81006,1,-1943.173243,5.815724377,1111,174
2/22/1990,14170,1630,10450.42993,1,443.8361712,6.070657022,1114,176
2/23/1990,13796,1540,10502.8501,1,845.8358203,6.03768063,1053,171
2/24/1990,13506,1460,10525.91992,1,799.1358872,5.756548405,1036,177
2/25/1990,13112,1410,10333.42993,1,850.2257239,5.26578927,1091,183
2/26/1990,12501,1390,10605.6499,1,782.3857635,5.172623754,1144,185
2/27/1990,12304,1390,10663.62012,1,751.7458561,5.446837664,1213,186
2/28/1990,11915,1350,10642.52979,1,704.6659972,5.632046461,1249,181
3/1/1990,11929,1340,10638.41992,1,683.6965521,5.75432992,1243,198
3/2/1990,11944,1400,10560.32007,1,71.8679048,5.782761216,1238,197
3/3/1990,12439,1590,10541.58008,1,-22.47384298,5.460663795,1252,193
3/4/1990,12663,1790,10568.78003,1,679.3174242,5.748820066,1174,190
3/5/1990,15300,1870,10530.8999,1,-226.263897,5.769709352,1053,199
3/6/1990,17514,1920,10370.70996,1,1659.471702,5.842661619,961,193
3/7/1990,18174,1940,10577.85986,1,1152.293335,5.669514664,950,196
3/8/1990,17715,1930,10582.3501,1,761.8750779,5.604079485,942,190
3/9/1990,15784,1930,10569.27002,1,1007.534603,5.269201994,886,198
3/10/1990,14289,1920,10568.27002,1,140.167983,4.861153007,855,181
3/11/1990,14534,1930,10558.66992,1,625.1059742,4.780148864,856,174
3/12/1990,15037,1910,10446.3501,1,706.035244,5.013575554,831,169
3/13/1990,15702,1850,10514.8999,1,928.8348032,5.13304472,846,165
3/14/1990,15159,1940,10525.1499,1,710.0652343,5.120280743,903,183
